Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Estimated crime in Wyoming

,,"Crime rate per 100,000 population",,,,,,,,,,,

,,Violent crime,,,,,,Property crime,,,,,

Year,Population,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1960,     330066,         109.7,           4.8,           7.0,,          53.3,          44.5,       1814.5,         299.9,       1399.7,         114.8 
1961,     338000,          85.2,           3.3,           3.6,,          35.8,          42.6,       1881.1,         362.7,       1404.4,         113.9 
1962,     365000,          42.7,           3.3,           7.7,,          14.0,          17.8,       1564.7,         284.4,       1144.4,         135.9 
1963,     337000,          63.2,           3.6,           6.2,,          21.4,          32.0,       1804.5,         345.1,       1322.6,         136.8 
1964,     343000,          83.1,           5.5,          10.2,,          13.4,          53.9,       1828.6,         379.3,       1330.0,         119.2 
1965,     340000,          75.6,           2.9,          11.5,,          17.9,          43.2,       1897.1,         363.2,       1397.6,         136.2 
1966,     329000,          83.0,           4.9,          12.2,,          21.0,          45.0,       2132.5,         383.9,       1597.9,         150.8 
1967,     315000,          93.3,           4.8,           7.3,,          13.7,          67.6,       2318.7,         506.0,       1637.8,         174.9 
1968,     315000,          88.3,           6.3,           8.9,,          12.4,          60.6,       2461.6,         545.1,       1779.7,         136.8 
1969,     320000,          89.4,          10.3,          11.6,,          15.9,          51.6,       2612.2,         565.0,       1870.0,         177.2 
1970,     332416,         113.1,           5.7,          12.3,,          22.0,          73.1,       2859.1,         645.9,       2048.6,         164.6 
1971,     340000,         156.5,           5.3,          13.8,,          20.0,         117.4,       2660.0,         586.2,       1892.1,         181.8 
1972,     345000,         148.1,           4.1,          13.9,,          33.9,          96.2,       2884.1,         596.2,       2084.1,         203.8 
1973,     353000,         216.1,           6.8,          15.6,,          32.9,         160.9,       3196.9,         699.7,       2282.7,         214.4 
1974,     359000,         144.6,           5.0,          15.3,,          42.6,          81.6,       3505.8,         827.3,       2464.1,         214.5 
1975,     374000,         204.3,          10.2,          17.1,,          49.5,         127.5,       3951.6,         863.4,       2810.7,         277.5 
1976,     390000,         218.2,           6.9,          24.9,,          29.2,         157.2,       3756.9,         764.6,       2750.3,         242.1 
1977,     406000,         240.9,           5.4,          21.9,,          39.7,         173.9,       3865.8,         811.6,       2772.2,         282.0 
1978,     424000,         280.4,           7.1,          23.6,,          48.1,         201.7,       4214.2,         836.1,       3035.6,         342.5 
1979,     450000,         350.9,           9.1,          27.6,,          42.2,         272.0,       4473.1,         863.8,       3246.0,         363.3 
1980,     468954,         392.6,           6.2,          28.6,,          44.4,         313.5,       4593.8,         903.7,       3344.9,         345.2 
1981,     492000,         430.1,           5.5,          35.4,,          41.9,         347.4,       4701.8,         961.0,       3449.6,         291.3 
1982,     502000,         304.2,           9.2,          27.1,,          34.3,         233.7,       4499.8,         882.9,       3367.1,         249.8 
1983,     514000,         237.2,           5.8,          21.4,,          29.8,         180.2,       3776.7,         705.4,       2905.1,         166.1 
1984,     511000,         242.1,           3.3,          20.9,,          23.1,         194.7,       3440.7,         641.7,       2645.4,         153.6 
1985,     509000,         256.8,           4.3,          22.4,,          20.0,         210.0,       3758.3,         690.6,       2894.3,         173.5 
1986,     507000,         293.1,           5.3,          21.9,,          22.5,         243.4,       4064.1,         817.4,       3078.1,         168.6 
1987,     490000,         283.1,           2.0,          31.4,,          20.0,         229.6,       3748.2,         717.6,       2892.0,         138.6 
1988,     471000,         314.0,           2.5,          24.0,,          15.1,         272.4,       3653.1,         658.8,       2851.8,         142.5 
1989,     475000,         258.3,           4.4,          28.2,,          17.1,         208.6,       3630.7,         631.8,       2861.7,         137.3 
1990,     453588,         301.4,           4.9,          29.5,,          15.9,         251.1,       3909.3,         631.0,       3129.3,         149.0 
1991,     460000,         310.2,           3.3,          25.9,,          17.2,         263.9,       4078.7,         692.2,       3232.0,         154.6 
1992,     466000,         319.5,           3.6,          35.0,,          18.0,         262.9,       4255.6,         671.0,       3434.1,         150.4 
1993,     470000,         286.2,           3.4,          34.3,,          17.2,         231.3,       3876.8,         643.2,       3078.7,         154.9 
1994,     476000,         272.5,           3.4,          33.6,,          16.6,         218.9,       4017.2,         650.6,       3204.6,         162.0 
1995,     480000,         254.2,           2.1,          34.4,,          17.9,         199.8,       4066.0,         612.1,       3286.3,         167.7 
1996,     481000,         249.7,           3.3,          29.1,,          20.4,         196.9,       4004.4,         662.0,       3203.3,         139.1 
1997,     480000,         255.2,           3.5,          28.5,,          17.7,         205.4,       3925.6,         624.6,       3166.3,         134.8 
1998,     481000,         247.6,           4.8,          27.7,,          16.2,         199.0,       3560.1,         560.5,       2860.5,         139.1 
1999,     479602,         232.5,           2.3,          28.6,,          15.4,         186.2,       3225.2,         489.8,       2611.1,         124.3 
2000,     493782,         266.5,           2.4,          32.4,,          14.2,         217.5,       3031.5,         420.8,       2494.6,         116.0 
2001,     493754,         257.6,           1.8,          31.0,,          17.0,         207.8,       3264.8,         502.5,       2621.3,         141.0 
2002,     498830,         273.4,           3.0,          29.7,,          18.6,         222.1,       3306.5,         490.7,       2666.8,         148.9 
2003,     502111,         261.7,           2.8,          27.1,,          16.7,         215.1,       3315.6,         520.0,       2636.7,         158.9 
2004,     505887,         229.9,           2.2,          22.1,,          13.2,         192.3,       3338.5,         541.2,       2639.3,         157.9 
2005,     508798,         230.0,           2.8,          24.0,,          15.3,         188.3,       3158.0,         476.8,       2536.0,         145.0 
2006,     515004,         253.8,           2.5,          29.3,,          14.0,         208.0,       2986.6,         450.9,       2379.6,         156.1 
2007,     522830,         257.1,           4.0,          32.9,,          16.1,         204.1,       2879.1,         452.3,       2271.3,         155.5 
2008,     532668,         249.7,           2.3,          34.7,,          16.3,         196.4,       2725.0,         412.6,       2174.7,         137.6 
2009,     544270,         219.7,           2.0,          31.6,,          14.3,         171.8,       2616.9,         399.8,       2078.0,         139.1 
2010,     564554,         197.9,           1.4,          28.7,,          13.6,         154.1,       2456.6,         381.0,       1970.8,         104.9 
2011,     567356,         219.4,           3.2,          25.7,,          12.5,         178.0,       2269.8,         328.5,       1849.5,          91.8 
2012,     576626,         201.3,           2.4,          26.7,,          10.6,         161.6,       2293.0,         368.5,       1823.2,         101.3 
2013,     583223,         207.8,           2.9,          24.7,          35.0,          12.7,         157.2,       2196.2,         335.4,       1761.8,          99.1 
2014,     584153,         195.5,           2.7,          21.6,          29.8,           9.1,         153.9,       1964.7,         289.1,       1572.4,         103.2 


		
		,1. The figures shown in this column for the offense of rape were estimated using the legacy UCR definition of rape - previously known as "Forcible" rape.  See UCR Offense Definitions for further information.
		
		,2. The figures shown in this column for the offense of rape were estimated using the revised Uniform Crime Reporting (UCR) definition of rape. In December 2011 the UCR program changed its definition of SRS rape to this revised definition. This change can be seen in the UCR data starting in 2013. Prior to 2013 this column will be blank. See UCR Offense Definitions for further information.
		
		
		,Notes:,National or state offense totals are based on data from all reporting agencies and estimates for unreported areas.

"           Rates are the number of reported offenses per 100,000 population" 

"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data" 
Date of download: Feb 22 2019 
